exp,policy,profile,arrival,rate_rps,seed,capacity_rps,offered_load,n,throughput_rps,throughput_tok_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,latency_p50_s,latency_p95_s,latency_p99_s,queue_wait_p95_s,tpot_mean_s,tpot_p95_s,utilization,mean_decode_batch,max_kv_reserved
load_sweep,continuous_64,chat,poisson,0.25,0,5.1003,0.049,1350,0.247116,47.922584,0.056149,0.138856,0.191592,1.949251,6.30799,10.35824,0.011406,0.012854,0.013958,0.461028,1.327331,3706
load_sweep,continuous_64,chat,poisson,0.25,1,5.1003,0.049,1350,0.251172,47.630349,0.0596,0.138433,0.198919,1.883942,6.081087,10.954428,0.011312,0.012869,0.013966,0.460088,1.332165,4195
load_sweep,continuous_64,chat,poisson,0.25,2,5.1003,0.049,1350,0.256628,49.770761,0.0582,0.142476,0.204133,2.02531,6.263657,9.607981,0.011304,0.012894,0.014072,0.474173,1.349469,4198
load_sweep,continuous_64,chat,poisson,0.25,3,5.1003,0.049,1350,0.247403,45.676311,0.057556,0.14999,0.205847,1.911852,5.935907,9.02985,0.011633,0.012883,0.014018,0.438176,1.338723,4363
load_sweep,continuous_64,chat,poisson,0.25,4,5.1003,0.049,1350,0.255425,49.187233,0.058251,0.139264,0.199338,2.025605,6.31532,9.083281,0.011445,0.012875,0.013922,0.457901,1.354431,4320
load_sweep,continuous_64,chat,poisson,0.75,0,5.1003,0.1471,1350,0.740495,143.602215,0.060333,0.146907,0.19796,2.091189,6.726536,11.188899,0.012951,0.013855,0.015591,0.850297,2.270723,5420
load_sweep,continuous_64,chat,poisson,0.75,1,5.1003,0.1471,1350,0.748769,141.990934,0.063995,0.147568,0.214029,2.031869,6.519422,11.714718,0.013335,0.013849,0.015633,0.857868,2.242267,8105
load_sweep,continuous_64,chat,poisson,0.75,2,5.1003,0.1471,1350,0.768933,149.127956,0.062594,0.151423,0.210151,2.170798,6.816114,10.402263,0.012996,0.013951,0.016014,0.86906,2.328303,6716
load_sweep,continuous_64,chat,poisson,0.75,3,5.1003,0.1471,1350,0.74137,136.873887,0.062204,0.160237,0.211953,2.058786,6.492123,9.762244,0.013428,0.013887,0.015953,0.831651,2.222154,6412
load_sweep,continuous_64,chat,poisson,0.75,4,5.1003,0.1471,1350,0.765588,147.429647,0.061763,0.150244,0.221533,2.203876,6.82483,9.768232,0.013255,0.013932,0.015942,0.847366,2.312943,5779
load_sweep,continuous_64,chat,poisson,1.25,0,5.1003,0.2451,1350,1.231907,238.900626,0.061499,0.151525,0.207986,2.278393,7.34796,12.119337,0.020089,0.015049,0.017682,0.962875,3.566323,8876
load_sweep,continuous_64,chat,poisson,1.25,1,5.1003,0.2451,1350,1.239991,235.142695,0.066188,0.159416,0.237973,2.201583,7.072147,12.866922,0.029598,0.015065,0.017726,0.964302,3.538568,8279
load_sweep,continuous_64,chat,poisson,1.25,2,5.1003,0.2451,1350,1.278593,247.972248,0.064619,0.15282,0.21507,2.366497,7.406907,11.230355,0.020637,0.015261,0.018178,0.96467,3.75483,8266
load_sweep,continuous_64,chat,poisson,1.25,3,5.1003,0.2451,1350,1.234168,227.855715,0.064127,0.170625,0.235401,2.238397,7.08228,10.427933,0.031172,0.015047,0.017925,0.95066,3.456969,9760
load_sweep,continuous_64,chat,poisson,1.25,4,5.1003,0.2451,1350,1.273575,245.252757,0.064405,0.154957,0.226501,2.405978,7.361352,10.6254,0.027069,0.015191,0.018069,0.956752,3.653567,8328
load_sweep,continuous_64,chat,poisson,1.75,0,5.1003,0.3431,1350,1.721464,333.839004,0.063521,0.161234,0.223202,2.491924,8.093307,13.212442,0.034703,0.016477,0.019748,0.991697,5.242991,9926
load_sweep,continuous_64,chat,poisson,1.75,1,5.1003,0.3431,1350,1.724773,327.073102,0.068271,0.168487,0.261745,2.419302,7.804764,14.184757,0.038128,0.016563,0.020165,0.990752,5.197294,11416
load_sweep,continuous_64,chat,poisson,1.75,2,5.1003,0.3431,1350,1.785777,346.336275,0.065574,0.164243,0.230983,2.630334,8.179715,12.586805,0.035837,0.016834,0.020989,0.988861,5.581308,10574
load_sweep,continuous_64,chat,poisson,1.75,3,5.1003,0.3431,1350,1.724217,318.330106,0.065878,0.177192,0.266831,2.469637,7.799417,11.727435,0.041193,0.016448,0.020347,0.987185,5.029118,13348
